,Book-Title,Book-Author,Image-URL-M,num_rating_x,avg_rating_x
51,Pet Sematary,Stephen King,https://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg,238,3.3949579831932772
52,Girl with a Pearl Earring,Tracy Chevalier,https://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,526,4.218631178707224
53,Deception Point,Dan Brown,https://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,262,2.931297709923664
54,Tis : A Memoir,Frank McCourt,https://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg,175,3.142857142857143
55,Chicken Soup for the Soul,Jack Canfield,https://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,10,5.1
56,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,https://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,326,3.766871165644172
57,Life of Pi,Yann Martel,https://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,664,4.088855421686747
58,Secret History,DONNA TARTT,https://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg,1,8.0
59,Chicken Soup for the Woman's Soul,Jack Canfield,https://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,139,3.697841726618705
60,The Amber Spyglass,PHILIP PULLMAN,https://images.amazon.com/images/P/0375823352.01.MZZZZZZZ.jpg,141,4.156028368794326
61,The Golden Compass,PHILIP PULLMAN,https://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,336,4.0
62,The Subtle Knife,PHILIP PULLMAN,https://images.amazon.com/images/P/0375823468.01.MZZZZZZZ.jpg,225,4.124444444444444
63,Animal Farm,George Orwell,https://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,1,10.0
64,A Man in Full,Tom Wolfe,https://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg,174,2.4022988505747125
65,A Painted House,John Grisham,https://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,838,3.231503579952267
66,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,https://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg,2,7.0
67,Vinegar Hill,A. Manette Ansay,https://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg,3,3.3333333333333335
68,The Hunt for Red October,Tom Clancy,https://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg,241,2.680497925311203
69,The Secret Life of Bees,Sue Monk Kidd,https://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,774,4.447028423772609
70,Digital Fortress : A Thriller,Dan Brown,https://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg,293,3.57679180887372
71,The Firm,John Grisham,https://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg,569,3.0808435852372584
72,The Client,John Grisham,https://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,3,6.333333333333333
73,Heart of the Sea,Nora Roberts,https://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg,170,3.011764705882353
74,The Little Prince,Antoine de Saint-Exup̩ry,https://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,141,5.815602836879433
75,Moonlight Becomes You,Mary Higgins Clark,https://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg,139,2.841726618705036
76,The Lovely Bones: A Novel,Alice Sebold,https://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,1295,4.468725868725869
77,Hannibal,Thomas Harris,https://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,1,10.0
78,The Robber Bride,Margaret Atwood,https://images.amazon.com/images/P/0553569058.01.MZZZZZZZ.jpg,170,2.1823529411764704
79,A Widow for One Year,JOHN IRVING,https://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,273,2.7838827838827838
80,Empire Falls,Richard Russo,https://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,392,3.6301020408163267
81,Oryx and Crake,Margaret Atwood,https://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg,134,3.0074626865671643
82,Black and Blue,ANNA QUINDLEN,https://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,13,4.846153846153846
83,She's Come Undone,Wally Lamb,https://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,468,3.5705128205128207
84,Nickel and Dimed: On Getting By in America,Barbara Ehrenreich,https://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,335,4.28955223880597
85,Left Behind: A Novel of the Earth's Last Days,Tim Lahaye,https://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,2,4.5
86,The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon,https://images.amazon.com/images/P/0786868015.01.MZZZZZZZ.jpg,156,3.4038461538461537
87,The Bean Trees,Barbara Kingsolver,https://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,389,4.087403598971722
88,The Red Tent,Anita Diamant,https://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,1,10.0
89,The Nanny Diaries: A Novel,Emma McLaughlin,https://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,828,3.5301932367149758
90,Postmortem,Patricia Daniels Cornwell,https://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg,1,7.0
91,While My Pretty One Sleeps,Mary Higgins Clark,https://images.amazon.com/images/P/0671673688.01.MZZZZZZZ.jpg,135,1.5185185185185186
92,Three Junes,JULIA GLASS,https://images.amazon.com/images/P/0385721420.01.MZZZZZZZ.jpg,216,2.7222222222222223
93,Back Roads,Tawni O'Dell,https://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,276,2.681159420289855
94,In Her Shoes : A Novel,Jennifer Weiner,https://images.amazon.com/images/P/0743418190.01.MZZZZZZZ.jpg,197,3.512690355329949
95,The Kiss,Danielle Steel,https://images.amazon.com/images/P/0385335407.01.MZZZZZZZ.jpg,148,2.7567567567567566
96,Strangers,Dean R. Koontz,https://images.amazon.com/images/P/0425181111.01.MZZZZZZZ.jpg,150,3.1733333333333333
97,A Thousand Acres,JANE SMILEY,https://images.amazon.com/images/P/0449907481.01.MZZZZZZZ.jpg,210,2.6523809523809523
98,River's End,Nora Roberts,https://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg,157,2.2420382165605095
99,The Chamber,John Grisham,https://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg,509,3.0157170923379173
100,The Partner,John Grisham,https://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg,478,3.290794979079498
101,Chosen Prey,John Sandford,https://images.amazon.com/images/P/0425182878.01.MZZZZZZZ.jpg,192,3.2083333333333335
102,Guilty as Sin,TAMI HOAG,https://images.amazon.com/images/P/0553564528.01.MZZZZZZZ.jpg,144,1.8958333333333333
103,Night Sins,TAMI HOAG,https://images.amazon.com/images/P/055356451X.01.MZZZZZZZ.jpg,177,2.6553672316384183
104,The Vampire Lestat,ANNE RICE,https://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,3,4.0
105,The Mummy or Ramses the Damned,Anne Rice,https://images.amazon.com/images/P/0345369947.01.MZZZZZZZ.jpg,173,3.2658959537572256
106,Vanished,Danielle Steel,https://images.amazon.com/images/P/0385306032.01.MZZZZZZZ.jpg,2,3.0
107,Daisy Fay and the Miracle Man,Fannie Flagg,https://images.amazon.com/images/P/0446394521.01.MZZZZZZZ.jpg,165,2.6121212121212123
108,Angela's Ashes: A Memoir,Frank McCourt,https://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,222,3.6486486486486487
109,The Next Accident,LISA GARDNER,https://images.amazon.com/images/P/0553578693.01.MZZZZZZZ.jpg,167,2.3892215568862274
110,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,https://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,321,4.037383177570093
111,Echoes,Maeve Binchy,https://images.amazon.com/images/P/0440122090.01.MZZZZZZZ.jpg,6,4.333333333333333
112,One for the Money,Janet Evanovich,https://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,142,4.02112676056338
113,Along Came a Spider,James Patterson,https://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,23,4.260869565217392
114,Where the Heart Is,Billie Letts,https://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,1,9.0
115,The Girls' Guide to Hunting and Fishing,Melissa Bank,https://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg,573,3.1396160558464223
116,Icy Sparks,Gwyn Hyman Rubio,https://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,309,3.3462783171521036
117,The Da Vinci Code,Dan Brown,https://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,4.642538975501114
118,A Map of the World,Jane Hamilton,https://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg,327,2.492354740061162
119,Bridget Jones : The Edge of Reason,Helen Fielding,https://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg,131,3.50381679389313
120,Big Trouble,Dave Barry,https://images.amazon.com/images/P/0425184129.01.MZZZZZZZ.jpg,222,3.2387387387387387
121,Snow Falling on Cedars,David Guterson,https://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg,662,3.2522658610271904
122,Skipping Christmas,JOHN GRISHAM,https://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,322,4.0062111801242235
123,The Reader,Bernhard Schlink,https://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg,466,3.0128755364806867
124,Daddy's Little Girl,Mary Higgins Clark,https://images.amazon.com/images/P/0743206045.01.MZZZZZZZ.jpg,247,3.032388663967611
125,If Only It Were True,Marc Levy,https://images.amazon.com/images/P/0743406176.01.MZZZZZZZ.jpg,114,2.93859649122807
126,Message in a Bottle,Nicholas Sparks,https://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg,496,2.778225806451613
127,The Guardian,Nicholas Sparks,https://images.amazon.com/images/P/0446527793.01.MZZZZZZZ.jpg,15,4.0
128,Nights in Rodanthe,Nicholas Sparks,https://images.amazon.com/images/P/0446531332.01.MZZZZZZZ.jpg,177,3.4971751412429377
129,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,https://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg,134,3.7686567164179103
130,The Two Towers,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,3,10.0
131,The Villa,Nora Roberts,https://images.amazon.com/images/P/0399147128.01.MZZZZZZZ.jpg,236,2.5847457627118646
132,Suzanne's Diary for Nicholas,James Patterson,https://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,457,3.8205689277899344
133,2nd Chance,James Patterson,https://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg,356,3.269662921348315
134,The Bad Beginning,Lemony Snicket,https://images.amazon.com/images/P/0064407667.01.MZZZZZZZ.jpg,244,3.7049180327868854
135,Me Talk Pretty One Day,David Sedaris,https://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,457,3.7527352297593
136,The Door to December,Dean R. Koontz,https://images.amazon.com/images/P/0451181379.01.MZZZZZZZ.jpg,241,2.6390041493775933
137,Dreamcatcher,Stephen King,https://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg,481,3.212058212058212
138,Smilla's Sense of Snow,Peter Hoeg,https://images.amazon.com/images/P/0440218535.01.MZZZZZZZ.jpg,181,2.541436464088398
139,The Giver,LOIS LOWRY,https://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg,42,5.738095238095238
140,Ender's Game,Orson Scott Card,https://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg,4,7.25
141,A Time to Kill,JOHN GRISHAM,https://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,2,5.0
142,Charming Billy,Alice McDermott,https://images.amazon.com/images/P/038533334X.01.MZZZZZZZ.jpg,150,2.473333333333333
143,No Safe Place,RICHARD NORTH PATTERSON,https://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg,7,2.4285714285714284
144,Granny Dan,DANIELLE STEEL,https://images.amazon.com/images/P/0440224829.01.MZZZZZZZ.jpg,2,5.0
145,Wuthering Heights,EMILY BRONTE,https://images.amazon.com/images/P/0553212583.01.MZZZZZZZ.jpg,1,10.0
146,Toxin,Robin Cook,https://images.amazon.com/images/P/0425166619.01.MZZZZZZZ.jpg,132,2.590909090909091
147,Dark Paradise,TAMI HOAG,https://images.amazon.com/images/P/0553561618.01.MZZZZZZZ.jpg,142,2.1549295774647885
148,Middlesex: A Novel,Jeffrey Eugenides,https://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg,238,3.4201680672268906
149,The Rainmaker,JOHN GRISHAM,https://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,501,2.9221556886227544
150,The Bad Place,Dean R. Koontz,https://images.amazon.com/images/P/0425124347.01.MZZZZZZZ.jpg,135,2.7555555555555555
151,The Phantom Tollbooth,Norton Juster,https://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg,125,4.416
152,Dances With Wolves,Michael Blake,https://images.amazon.com/images/P/0449134482.01.MZZZZZZZ.jpg,127,1.4960629921259843
153,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,https://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg,169,3.8698224852071004
154,Degree of Guilt,Richard North Patterson,https://images.amazon.com/images/P/034538184X.01.MZZZZZZZ.jpg,116,1.7413793103448276
155,SHIPPING NEWS,Annie Proulx,https://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,382,3.2539267015706805
156,The Smoke Jumper,Nicholas Evans,https://images.amazon.com/images/P/0385334036.01.MZZZZZZZ.jpg,1,8.0
157,Anne of Green Gables,L.M. MONTGOMERY,https://images.amazon.com/images/P/055321313X.01.MZZZZZZZ.jpg,1,10.0
158,Fall On Your Knees,Ann-Marie MacDonald,https://images.amazon.com/images/P/0743237188.01.MZZZZZZZ.jpg,284,3.387323943661972
159,The Carousel,Belva Plain,https://images.amazon.com/images/P/0440216842.01.MZZZZZZZ.jpg,101,1.7524752475247525
160,While I Was Gone,Sue Miller,https://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,431,2.5800464037122968
161,The House of the Spirits,Isabel Allende,https://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg,180,3.3055555555555554
162,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,https://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg,740,3.437837837837838
163,She's Come Undone,Wally Lamb,https://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,468,3.5705128205128207
164,STONES FROM THE RIVER,Ursula Hegi,https://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg,364,3.0027472527472527
165,Dragonfly in Amber,DIANA GABALDON,https://images.amazon.com/images/P/0440215625.01.MZZZZZZZ.jpg,151,4.47682119205298
166,Naked,David Sedaris,https://images.amazon.com/images/P/0316777730.01.MZZZZZZZ.jpg,196,4.158163265306122
167,Kiss the Girls,James Patterson,https://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg,256,2.828125
168,Different Seasons,Stephen King,https://images.amazon.com/images/P/0451124340.01.MZZZZZZZ.jpg,1,5.0
169,The Witching Hour,ANNE RICE,https://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg,1,5.0
170,Jack &amp; Jill,James Patterson,https://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg,182,2.9285714285714284
171,American Gods,Neil Gaiman,https://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,302,4.006622516556291
172,Red Dragon,Thomas Harris,https://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg,402,3.6069651741293534
173,Jurassic Park,Michael Crichton,https://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,488,3.42827868852459
174,Stanislaski Brothers,Nora Roberts,https://images.amazon.com/images/P/0373484224.01.MZZZZZZZ.jpg,98,2.2755102040816326
175,Neverwhere,Neil Gaiman,https://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,265,4.449056603773585
176,The Thorn Birds,Colleen McCullough,https://images.amazon.com/images/P/0380018179.01.MZZZZZZZ.jpg,11,3.909090909090909
177,"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux,https://images.amazon.com/images/P/067101420X.01.MZZZZZZZ.jpg,102,2.519607843137255
178,Mother of Pearl,Melinda Haynes,https://images.amazon.com/images/P/0786866276.01.MZZZZZZZ.jpg,129,2.1782945736434107
179,Choke,CHUCK PALAHNIUK,https://images.amazon.com/images/P/0385720920.01.MZZZZZZZ.jpg,165,3.278787878787879
180,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,https://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg,131,4.091603053435114
181,Lake Wobegon Days,Garrison Keillor,https://images.amazon.com/images/P/0140099832.01.MZZZZZZZ.jpg,29,2.5172413793103448
182,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,https://images.amazon.com/images/P/1573225789.01.MZZZZZZZ.jpg,223,4.1076233183856505
183,Anne Frank: The Diary of a Young Girl,ANNE FRANK,https://images.amazon.com/images/P/0553296981.01.MZZZZZZZ.jpg,142,4.852112676056338
184,Shopaholic Takes Manhattan,Sophie Kinsella,https://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg,200,3.605
185,Confessions of a Shopaholic,SOPHIE KINSELLA,https://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg,84,3.7261904761904763
186,The Cider House Rules,John Irving,https://images.amazon.com/images/P/0553258001.01.MZZZZZZZ.jpg,393,2.969465648854962
187,Good Omens,Neil Gaiman,https://images.amazon.com/images/P/0441003257.01.MZZZZZZZ.jpg,168,4.244047619047619
188,The Poisonwood Bible: A Novel,Barbara Kingsolver,https://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,494,3.6093117408906883
189,A Lesson Before Dying,Ernest J. Gaines,https://images.amazon.com/images/P/0375702709.01.MZZZZZZZ.jpg,1,7.0
190,Jewel,Bret Lott,https://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg,216,2.949074074074074
191,A Prayer for Owen Meany,John Irving,https://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,413,3.7966101694915255
192,Cold Sassy Tree,Olive Ann Burns,https://images.amazon.com/images/P/038531258X.01.MZZZZZZZ.jpg,202,3.0693069306930694
193,The Shipping News : A Novel,Annie Proulx,https://images.amazon.com/images/P/0743225406.01.MZZZZZZZ.jpg,228,3.013157894736842
194,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,https://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,107,3.691588785046729
195,"Breath, Eyes, Memory",Edwidge Danticat,https://images.amazon.com/images/P/037570504X.01.MZZZZZZZ.jpg,155,2.3483870967741933
196,Songs in Ordinary Time,Mary McGarry Morris,https://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg,17,3.0
197,Summer Sisters,Judy Blume,https://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg,573,3.3612565445026177
198,At Home in Mitford,Jan Karon,https://images.amazon.com/images/P/014025448X.01.MZZZZZZZ.jpg,230,3.0478260869565217
199,Bel Canto: A Novel,Ann Patchett,https://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,350,3.702857142857143
200,All Around the Town,Mary Higgins Clark,https://images.amazon.com/images/P/0671793489.01.MZZZZZZZ.jpg,187,2.962566844919786
201,A Civil Action,JONATHAN HARR,https://images.amazon.com/images/P/0679772677.01.MZZZZZZZ.jpg,156,2.3333333333333335
202,Faking It,Jennifer Crusie,https://images.amazon.com/images/P/0312983824.01.MZZZZZZZ.jpg,2,4.5
203,The Loop,Nicholas Evans,https://images.amazon.com/images/P/0440224624.01.MZZZZZZZ.jpg,181,2.4751381215469612
204,Good in Bed,Jennifer Weiner,https://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,490,4.055102040816327
205,We'll Meet Again,Mary Higgins Clark,https://images.amazon.com/images/P/0671004565.01.MZZZZZZZ.jpg,213,2.591549295774648
206,How to Make an American Quilt,Whitney Otto,https://images.amazon.com/images/P/0345370805.01.MZZZZZZZ.jpg,177,2.3220338983050848
207,Ellen Foster,Kaye Gibbons,https://images.amazon.com/images/P/0375703055.01.MZZZZZZZ.jpg,4,3.75
208,The Hours : A Novel,Michael Cunningham,https://images.amazon.com/images/P/0312243022.01.MZZZZZZZ.jpg,216,3.4444444444444446
209,Cold Mountain : A Novel,CHARLES FRAZIER,https://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,311,3.35048231511254
210,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,https://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,1,10.0
