,Book-Title,Book-Author,Image-URL-M,num_rating,avg_rating
255,1st to Die: A Novel,James Patterson,https://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,509,3.58
257,She's Come Undone (Oprah's Book Club),Wally Lamb,https://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,468,3.57
258,The Notebook,Nicholas Sparks,https://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg,650,3.56
263,Interview with the Vampire,Anne Rice,https://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,508,3.55
265,The Nanny Diaries: A Novel,Emma McLaughlin,https://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,828,3.53
267,Bridget Jones's Diary,Helen Fielding,https://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,815,3.53
273,White Oleander : A Novel,Janet Fitch,https://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg,387,3.51
276,The Poisonwood Bible,Barbara Kingsolver,https://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg,267,3.50
279,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,https://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,446,3.50
280,Two for the Dough,Janet Evanovich,https://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg,267,3.46
281,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,https://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg,740,3.44
284,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,https://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,313,3.43
288,The Summons,John Grisham,https://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,655,3.43
292,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,https://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg,376,3.43
293,Jurassic Park,Michael Crichton,https://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,488,3.43
300,A Heartbreaking Work of Staggering Genius,Dave Eggers,https://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,302,3.42
301,"Girl, Interrupted",SUSANNA KAYSEN,https://images.amazon.com/images/P/0679746048.01.MZZZZZZZ.jpg,262,3.42
304,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,https://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,431,3.42
305,Chocolat,Joanne Harris,https://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg,344,3.41
311,A Walk to Remember,Nicholas Sparks,https://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg,378,3.40
315,The Handmaid's Tale,Margaret Atwood,https://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg,311,3.40
319,The Bonesetter's Daughter,Amy Tan,https://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg,384,3.39
324,One Door Away from Heaven,Dean R. Koontz,https://images.amazon.com/images/P/0553582755.01.MZZZZZZZ.jpg,298,3.39
326,Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,https://images.amazon.com/images/P/0743237188.01.MZZZZZZZ.jpg,284,3.39
327,A Bend in the Road,Nicholas Sparks,https://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg,346,3.36
333,Summer Sisters,Judy Blume,https://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg,573,3.36
337,Cold Mountain : A Novel,CHARLES FRAZIER,https://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,311,3.35
338,The Beach House,James Patterson,https://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,435,3.35
344,The Hours: A Novel,Michael Cunningham,https://images.amazon.com/images/P/0312305060.01.MZZZZZZZ.jpg,294,3.35
345,Icy Sparks,Gwyn Hyman Rubio,https://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,309,3.35
347,Angela's Ashes (MMP) : A Memoir,Frank McCourt,https://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg,326,3.34
348,How to Be Good,Nick Hornby,https://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg,304,3.31
351,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,https://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg,372,3.30
353,The Partner,John Grisham,https://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg,478,3.29
357,The God of Small Things,Arundhati Roy,https://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,289,3.29
359,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,https://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg,274,3.28
361,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,https://images.amazon.com/images/P/0515131229.01.MZZZZZZZ.jpg,258,3.27
362,2nd Chance,James Patterson,https://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg,356,3.27
366,Little Altars Everywhere: A Novel,Rebecca Wells,https://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,434,3.26
367,SHIPPING NEWS,Annie Proulx,https://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,382,3.25
370,Snow Falling on Cedars,David Guterson,https://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg,662,3.25
377,The Rescue,Nicholas Sparks,https://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,308,3.24
382,A Painted House,John Grisham,https://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,838,3.23
387,Unnatural Exposure,Cornwell Patricia,https://images.amazon.com/images/P/0316639842.01.MZZZZZZZ.jpg,258,3.22
393,Dreamcatcher,Stephen King,https://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg,481,3.21
405,Dolores Claiborne,Stephen King,https://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg,275,3.19
415,Point of Origin,Patricia Daniels Cornwell,https://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg,277,3.18
417,The Testament,John Grisham,https://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,617,3.18
424,I Know This Much Is True,Wally Lamb,https://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg,276,3.17
428,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,https://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,265,3.15
430,The Girls' Guide to Hunting and Fishing,Melissa Bank,https://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg,573,3.14
434,Cradle and All,James Patterson,https://images.amazon.com/images/P/0316690619.01.MZZZZZZZ.jpg,265,3.14
442,A Time to Kill,JOHN GRISHAM,https://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,549,3.12
449,The Last Time They Met : A Novel,Anita Shreve,https://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg,312,3.12
451,Along Came a Spider (Alex Cross Novels),James Patterson,https://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,304,3.12
454,Midwives: A Novel,Chris Bohjalian,https://images.amazon.com/images/P/0375706771.01.MZZZZZZZ.jpg,380,3.11
455,The Bridges of Madison County,Robert James Waller,https://images.amazon.com/images/P/044651652X.01.MZZZZZZZ.jpg,443,3.09
460,The Client,John Grisham,https://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,483,3.08
464,The Firm,John Grisham,https://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg,569,3.08
471,The Smoke Jumper,Nicholas Evans,https://images.amazon.com/images/P/0385334036.01.MZZZZZZZ.jpg,262,3.06
474,The Joy Luck Club,Amy Tan,https://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,555,3.06
477,Full House (Janet Evanovich's Full Series),Janet Evanovich,https://images.amazon.com/images/P/0312983271.01.MZZZZZZZ.jpg,257,3.04
478,Pop Goes the Weasel,James Patterson,https://images.amazon.com/images/P/0316693286.01.MZZZZZZZ.jpg,273,3.04
482,The King of Torts,John Grisham,https://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,458,3.04
486,Tara Road,Maeve Binchy,https://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg,304,3.04
493,House of Sand and Fog,Andre Dubus III,https://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg,588,3.03
495,The Chamber,John Grisham,https://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg,509,3.02
500,The Reader,Bernhard Schlink,https://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg,466,3.01
505,The Blind Assassin,Margaret Atwood,https://images.amazon.com/images/P/0385475721.01.MZZZZZZZ.jpg,255,3.01
508,STONES FROM THE RIVER,Ursula Hegi,https://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg,364,3.00
512,The Kitchen God's Wife,Amy Tan,https://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,311,3.00
517,"\O\"" Is for Outlaw""",SUE GRAFTON,https://images.amazon.com/images/P/0449003787.01.MZZZZZZZ.jpg,269,2.99
519,The Hot Zone,Richard Preston,https://images.amazon.com/images/P/0385479565.01.MZZZZZZZ.jpg,260,2.97
523,The Cider House Rules,John Irving,https://images.amazon.com/images/P/0553258001.01.MZZZZZZZ.jpg,393,2.97
531,The Alienist,Caleb Carr,https://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,350,2.97
533,Violets Are Blue,James Patterson,https://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg,379,2.96
537,Deception Point,Dan Brown,https://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,262,2.93
540,The Rainmaker,JOHN GRISHAM,https://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,501,2.92
547,Mystic River,Dennis Lehane,https://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,362,2.91
554,Airframe,Michael Crichton,https://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,332,2.90
559,The Runaway Jury,JOHN GRISHAM,https://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,520,2.88
565,All I Really Need to Know,ROBERT FULGHUM,https://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg,258,2.88
567,The Last Precinct,Patricia Cornwell,https://images.amazon.com/images/P/0425180638.01.MZZZZZZZ.jpg,337,2.88
571,We Were the Mulvaneys,Joyce Carol Oates,https://images.amazon.com/images/P/0452282829.01.MZZZZZZZ.jpg,342,2.87
572,The Lost World,Michael Crichton,https://images.amazon.com/images/P/034540288X.01.MZZZZZZZ.jpg,256,2.86
579,The Street Lawyer,JOHN GRISHAM,https://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,545,2.85
584,The Brethren,JOHN GRISHAM,https://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,556,2.85
589,The Hundred Secret Senses,Amy Tan,https://images.amazon.com/images/P/0399141146.01.MZZZZZZZ.jpg,336,2.83
596,Kiss the Girls,James Patterson,https://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg,256,2.83
600,Black and Blue,ANNA QUINDLEN,https://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,263,2.79
601,A Widow for One Year,JOHN IRVING,https://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,273,2.78
605,Black Notice,Patricia Daniels Cornwell,https://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg,360,2.78
611,Message in a Bottle,Nicholas Sparks,https://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg,496,2.78
616,Flesh and Blood,Jonathan Kellerman,https://images.amazon.com/images/P/0679459626.01.MZZZZZZZ.jpg,254,2.78
626,Hannibal,Thomas Harris,https://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,468,2.76
638,Sphere,MICHAEL CRICHTON,https://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg,374,2.74
644,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,https://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg,285,2.73
645,When the Wind Blows,James Patterson,https://images.amazon.com/images/P/0316693324.01.MZZZZZZZ.jpg,396,2.72
656,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,https://images.amazon.com/images/P/0345351525.01.MZZZZZZZ.jpg,274,2.71
658,The Horse Whisperer,Nicholas Evans,https://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg,507,2.69
662,Back Roads,Tawni O'Dell,https://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,276,2.68
668,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,https://images.amazon.com/images/P/0385265700.01.MZZZZZZZ.jpg,319,2.67
669,Scarlet Feather,Maeve Binchy,https://images.amazon.com/images/P/0525945938.01.MZZZZZZZ.jpg,256,2.63
674,Lightning,Dean R. Koontz,https://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg,274,2.63
681,Cause of Death,Patricia Daniels Cornwell,https://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg,287,2.62
689,The Pelican Brief,John Grisham,https://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg,581,2.61
692,While I Was Gone,Sue Miller,https://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,431,2.58
696,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,https://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg,404,2.54
699,A Map of the World,Jane Hamilton,https://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg,327,2.49
702,Rising Sun,MICHAEL CRICHTON,https://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,278,2.44
705,Congo,Michael Crichton,https://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,299,2.43
709,The Prince of Tides,Pat Conroy,https://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,291,2.35
713,Disclosure,Michael Crichton,https://images.amazon.com/images/P/0345391055.01.MZZZZZZZ.jpg,318,2.35
716,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,https://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg,265,2.25
717,Whispers,BELVA PLAIN,https://images.amazon.com/images/P/0440216745.01.MZZZZZZZ.jpg,286,2.20
727,Presumed Innocent,Scott Turow,https://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg,294,2.14
733,Isle of Dogs,Patricia Cornwell,https://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,288,2.00
739,Wild Animus,Rich Shapero,https://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,2502,1.02
